Node ID,Position,Role,Power
0,"(303.46019374111063, 215.11325305840919)",Roles.REGISTERED,23.80583908959968
1,"(288.39593518355304, 288.0481222456288)",Roles.CLUSTER_HEAD,24.08044629120105
2,"(308.98076116618637, 335.49774031857385)",Roles.ROUTER,23.77137059839987
3,"(342.16585212788175, 419.4904403510567)",Roles.CLUSTER_HEAD,21.236807865590933
4,"(343.3578814573981, 509.7916433384222)",Roles.CLUSTER_HEAD,22.717135032001075
5,"(352.5913183498242, 579.5576717500652)",Roles.ROUTER,23.107791883203525
6,"(335.8714816088192, 626.1161055510662)",Roles.REGISTERED,23.79130528479977
7,"(327.96024692771925, 744.0616929461078)",Roles.CLUSTER_HEAD,24.285142428800846
8,"(383.45203251470497, 811.2926300723258)",Roles.ROUTER,20.720769723192937
9,"(380.6850497565745, 896.9583509474294)",Roles.CLUSTER_HEAD,21.740011147199063
10,"(367.2850207354376, 208.84242699249873)",Roles.CLUSTER_HEAD,22.4362737615972
11,"(405.1122227645597, 296.3253311892933)",Roles.ROUTER,20.062269815992515
12,"(410.8134917752647, 371.10942812349435)",Roles.CLUSTER_HEAD,19.354902383987085
13,"(403.9676452400324, 436.1819505169789)",Roles.REGISTERED,22.57699420160488
14,"(417.1573330211249, 519.7787697320746)",Roles.CLUSTER_HEAD,13.120523724777602
15,"(412.5399850072118, 598.3605136804681)",Roles.CLUSTER_HEAD,16.520336255976673
16,"(440.50925294693764, 634.4924864558013)",Roles.ROUTER,12.336556471982826
17,"(451.1725702444013, 724.9681028895816)",Roles.ROOT,999992.9862907481
18,"(429.66768115349197, 817.6643975207678)",Roles.ROUTER,19.041677233587798
19,"(454.6865327646599, 870.2144046926178)",Roles.ROUTER,19.454318169588515
20,"(443.35619157135443, 219.1366012033227)",Roles.CLUSTER_HEAD,21.625363907194767
21,"(469.4107732082542, 254.32337948641242)",Roles.REGISTERED,22.19799107039988
22,"(445.396563104705, 333.1849148574987)",Roles.REGISTERED,23.138419974403547
23,"(466.0261333322873, 436.63829044609327)",Roles.CLUSTER_HEAD,18.46368672318767
