Node ID,Position,Role,Power
0,"(303.46019374111063, 215.11325305840919)",Roles.REGISTERED,4.635298972800113
1,"(288.39593518355304, 288.0481222456288)",Roles.CLUSTER_HEAD,4.668059552000145
2,"(308.98076116618637, 335.49774031857385)",Roles.ROUTER,4.5722678064000695
3,"(342.16585212788175, 419.4904403510567)",Roles.CLUSTER_HEAD,3.859522116799825
4,"(343.3578814573981, 509.7916433384222)",Roles.CLUSTER_HEAD,4.080928011200263
5,"(352.5913183498242, 579.5576717500652)",Roles.ROUTER,4.083897865600354
6,"(335.8714816088192, 626.1161055510662)",Roles.REGISTERED,4.589992968000186
7,"(327.96024692771925, 744.0616929461078)",Roles.CLUSTER_HEAD,4.767504838400139
8,"(383.45203251470497, 811.2926300723258)",Roles.ROUTER,3.6127651536000505
9,"(380.6850497565745, 896.9583509474294)",Roles.CLUSTER_HEAD,3.8817184528002575
10,"(367.2850207354376, 208.84242699249873)",Roles.CLUSTER_HEAD,4.255553510400022
11,"(405.1122227645597, 296.3253311892933)",Roles.ROUTER,3.46323327360018
12,"(410.8134917752647, 371.10942812349435)",Roles.CLUSTER_HEAD,3.291218857600094
13,"(403.9676452400324, 436.1819505169789)",Roles.REGISTERED,4.064438612800605
14,"(417.1573330211249, 519.7787697320746)",Roles.CLUSTER_HEAD,1.5706246560007446
15,"(412.5399850072118, 598.3605136804681)",Roles.CLUSTER_HEAD,1.5040796288007496
16,"(440.50925294693764, 634.4924864558013)",Roles.ROUTER,1.448134398400749
17,"(451.1725702444013, 724.9681028895816)",Roles.ROOT,999997.2064538511
18,"(429.66768115349197, 817.6643975207678)",Roles.ROUTER,2.931400528000347
19,"(454.6865327646599, 870.2144046926178)",Roles.ROUTER,3.1177635504002543
20,"(443.35619157135443, 219.1366012033227)",Roles.CLUSTER_HEAD,4.080015465600036
21,"(469.4107732082542, 254.32337948641242)",Roles.REGISTERED,4.0668681760002645
22,"(445.396563104705, 333.1849148574987)",Roles.REGISTERED,4.29938912320045
23,"(466.0261333322873, 436.63829044609327)",Roles.CLUSTER_HEAD,2.7357261872004797
24,"(470.42647134638656, 517.4150787231281)",Roles.ROUTER,3.1775325728008097
25,"(491.4087952649592, 582.3578082659651)",Roles.DEAD,0.9990163424007252
26,"(481.3468673013436, 625.615079242931)",Roles.CLUSTER_HEAD,4.006625540800111
27,"(523.5043217466362, 727.4169233561219)",Roles.DEAD,0.9995651344006233
28,"(502.1912945629907, 817.3730494744311)",Roles.CLUSTER_HEAD,3.6583140176002815
29,"(537.9877507944701, 882.9607406809912)",Roles.CLUSTER_HEAD,4.279733636800111
30,"(536.4700090161373, 194.184481644502)",Roles.REGISTERED,4.462565673600071
31,"(555.2323151700867, 296.92296003569044)",Roles.ROUTER,3.6765166672001905
32,"(521.4624713803374, 363.86985911479513)",Roles.CLUSTER_HEAD,2.9101961488004595
33,"(569.9859632760746, 424.05509087071204)",Roles.REGISTERED,3.300464174400218
34,"(557.7200595288871, 522.0506755652727)",Roles.CLUSTER_HEAD,2.167247337600647
35,"(578.1675753581486, 570.7212259419553)",Roles.REGISTERED,3.5073643008003104
36,"(572.0054778544193, 664.3222192721264)",Roles.ROUTER,2.6984925760006666
37,"(582.4927592381741, 740.2284742257018)",Roles.REGISTERED,3.7018715744001973
38,"(587.5378132553625, 784.0391996730152)",Roles.ROUTER,1.9757334896008676
39,"(595.0514568377649, 892.563700607582)",Roles.ROUTER,3.97850587040013
40,"(576.622956559712, 222.17851268988608)",Roles.CLUSTER_HEAD,4.202605224000124
41,"(625.9039045187424, 272.6499393636584)",Roles.ROUTER,3.539097886400083
42,"(604.0598339027015, 338.4320866724434)",Roles.CLUSTER_HEAD,2.8809464656004304
43,"(606.7305091561462, 414.514216061501)",Roles.CLUSTER_HEAD,3.1837509280002627
44,"(617.7608059076147, 522.5978825867716)",Roles.REGISTERED,4.332762995200277
45,"(644.9101402281187, 564.7246388549736)",Roles.ROUTER,4.0097582896004225
46,"(644.8246827996414, 630.7095322846005)",Roles.CLUSTER_HEAD,1.9124100704007787
47,"(644.6671235639299, 739.8101505592612)",Roles.REGISTERED,3.087008118400238
48,"(647.6729074492374, 811.507611539258)",Roles.CLUSTER_HEAD,3.0768655232002904
49,"(690.7781758925499, 871.5827773574888)",Roles.CLUSTER_HEAD,3.912954497599887
50,"(661.26870066593, 194.8657684573761)",Roles.REGISTERED,4.476566900800235
51,"(705.4946658612146, 272.28342581711917)",Roles.CLUSTER_HEAD,3.50473241440011
52,"(686.3332513513797, 366.61224522463965)",Roles.CLUSTER_HEAD,2.6998381984004283
53,"(704.038591831107, 434.7525445806233)",Roles.ROUTER,3.7927706944000272
54,"(706.1947719933489, 476.53501383770185)",Roles.CLUSTER_HEAD,4.213680454400222
55,"(727.6692756717077, 582.991194587554)",Roles.CLUSTER_HEAD,2.2194310256008007
56,"(731.8725625047855, 631.2841661154864)",Roles.REGISTERED,4.172033686400614
57,"(704.872008676226, 703.5363438943455)",Roles.ROUTER,3.250202150400249
58,"(755.8588156622977, 789.8939902871259)",Roles.REGISTERED,4.339041779200464
59,"(745.74703613384, 856.5195564212204)",Roles.ROUTER,3.90304317280003
60,"(767.5263330481636, 204.52919856437077)",Roles.ROUTER,4.253191216000205
61,"(777.540649760619, 273.0426245076645)",Roles.CLUSTER_HEAD,3.5031616112000443
62,"(783.4943213961182, 364.00086347163585)",Roles.CLUSTER_HEAD,3.362704046400274
63,"(749.3711687542382, 410.0203727733086)",Roles.REGISTERED,3.7945088208001305
64,"(783.6691351511155, 519.8282873008214)",Roles.CLUSTER_HEAD,3.0117962272003207
65,"(787.117537522474, 596.8976950891158)",Roles.CLUSTER_HEAD,3.0957061440002254
66,"(795.2053683622926, 625.8600098361618)",Roles.REGISTERED,3.7746482064002946
67,"(797.616235650956, 714.0675857730556)",Roles.CLUSTER_HEAD,2.895716166400308
68,"(827.8768371521461, 815.5569530975258)",Roles.CLUSTER_HEAD,3.6073497183999947
69,"(799.2571570497363, 871.4620207298658)",Roles.REGISTERED,4.278515355200249
70,"(804.820255129673, 193.96168549812865)",Roles.CLUSTER_HEAD,4.29548184800007
71,"(853.2222319701289, 291.8846375074648)",Roles.REGISTERED,4.071680836800229
72,"(853.3975591456548, 351.62602075734753)",Roles.CLUSTER_HEAD,3.18990901440024
73,"(824.5200226771385, 406.65085061255627)",Roles.REGISTERED,3.734176059200306
74,"(856.9104369778067, 488.4004971977756)",Roles.ROUTER,3.0090904288004268
