request_source,request_dest,first_request_time,last_intermediate_reply_time,direct_reply_time,delta,used_fallback_direct_as_intermediate,num_replies
"[0,1]","[0,254]",20.10016610051493,,20.10022947370746,6.337319253191254e-05,True,1
"[0,2]","[0,254]",20.100147684582343,,20.10022978641276,8.210183041867936e-05,True,1
"[0,3]","[0,254]",20.100161463736,,20.100247621832303,8.615809630185822e-05,True,1
"[0,3]","[0,254]",20.1002545644184,,20.100270719735345,1.6155316945543063e-05,True,1
"[1,1]","[0,254]",22.10022108839693,22.100335825250664,22.1003991984432,0.0001781100462707741,False,2
"[1,1]","[0,254]",26.10028454971107,26.1003992865648,26.100462659757333,0.00017811004626366866,False,2
"[2,4]","[0,254]",26.10034784720418,26.100635160490064,26.10069902192073,0.00035117471654899646,False,3
"[0,3]","[0,254]",27.10038552268617,,27.10047168078248,8.615809630896365e-05,True,1
"[3,1]","[0,254]",22.1002801592706,28.100527230923625,28.100613389019934,6.000333229749334,False,2
"[2,5]","[0,254]",28.10025161279669,28.100615639344483,28.10063164449744,0.000380031700750294,False,7
"[2,7]","[0,254]",28.10032311967487,28.100658914224333,28.10069567952801,0.0003725598531403307,False,6
"[2,2]","[0,254]",22.100226450782024,32.10048130930697,32.10056341113739,10.000336960355362,False,2
"[2,6]","[0,254]",32.1002858337007,32.100592434476184,32.100656295906845,0.0003704622061420082,False,3
"[5,1]","[0,254]",34.10035789267867,34.10073989377077,34.10082748138456,0.0004695887058900894,False,4
"[8,5]","[0,254]",34.10039028944598,34.10108484051197,34.10110999271403,0.0007197032680466009,False,13
"[2,5]","[0,254]",35.10049566622091,35.10081183649099,35.10084852893463,0.00035286271371859357,False,3
"[8,6]","[0,254]",36.10049039364264,36.10112844875162,36.10121588784608,0.0007254942034435885,False,5
"[2,7]","[0,254]",37.10048994973389,37.10079864815636,37.10086250958702,0.00037255985312611983,False,3
"[2,5]","[0,254]",37.10051598379309,37.10083215406317,37.100868846506806,0.00035286271371859357,False,3
"[8,5]","[0,254]",37.10058143452437,37.10127901557156,37.10130113779242,0.0007197032680466009,False,9
"[2,6]","[0,254]",38.100218758860514,38.100525359636,38.100589221066656,0.0003704622061420082,False,3
"[8,5]","[0,254]",38.1004052241672,38.10103748834079,38.10112492743525,0.0007197032680537063,False,5
"[14,4]","[0,254]",38.10059848729699,38.10152868135031,38.10159468245445,0.000996195157455304,False,7
"[12,4]","[0,254]",40.100391333272825,40.10105886686421,40.1010882877011,0.0006969544282782181,False,13
"[10,4]","[0,254]",40.10048601626298,40.10105793270484,40.10114769295501,0.0006616766920330974,False,5
"[10,5]","[0,254]",40.10050718979728,40.10114624626936,40.101223057306974,0.0007158675096974321,False,9
"[13,2]","[0,254]",42.10044648043678,42.101075561589056,42.10112355699432,0.0006770765575367932,False,6
"[19,1]","[0,254]",42.10048206139495,42.10143474702581,42.10150973048116,0.001027669086212768,False,7
"[14,6]","[0,254]",42.10055994552796,42.10150864893741,42.10157465004155,0.0010147045135866506,False,7
"[24,6]","[0,254]",44.100521951193606,44.10150791564429,44.10152703555472,0.0010050843611111304,False,24
"[13,2]","[0,254]",46.1005156679065,46.101144749058776,46.10119274446404,0.0006770765575438986,False,6
"[24,5]","[0,254]",46.10045130034129,46.10139129648629,46.101466709382926,0.001015409041634996,False,7
"[24,4]","[0,254]",46.100503386638366,46.10144210882712,46.10151752172376,0.0010141350853913877,False,7
"[12,4]","[0,254]",48.1005690783131,48.10118535684233,48.10124336825197,0.0006742899388711976,False,5
"[30,5]","[0,254]",48.100663129506245,48.10195443731783,48.10196190445649,0.001298774950242887,False,33
"[31,1]","[0,254]",50.10054560359428,50.1014996242064,50.10150885263359,0.0009632490393158832,False,21
"[33,4]","[0,254]",50.10060373470994,50.101835457207166,50.10190575663158,0.0013020219216386408,False,9
"[33,3]","[0,254]",50.10064568332801,50.101858158316666,50.10192845774108,0.0012827744130703422,False,9
"[30,7]","[0,254]",50.10064485098584,50.101885620727806,50.1019708639456,0.0013260129597654213,False,9
"[24,6]","[0,254]",51.10068590641559,51.10168261822432,51.1016909907767,0.0010050843611111304,False,13
"[24,6]","[0,254]",53.10068590641559,53.10161557788007,53.1016909907767,0.0010050843611111304,False,7
"[36,1]","[0,254]",52.10047876877935,56.101666210719,56.10168876878967,4.001210000010325,False,17
"[36,4]","[0,254]",56.10060383440386,56.101805422171786,56.10188389789871,0.0012800634948462175,False,10
"[40,1]","[0,254]",58.10064509766831,58.101891136948886,58.10197797351036,0.0013328758420456666,False,9
"[37,4]","[0,254]",58.10065886546582,58.10219854221934,58.10228579753596,0.0016269320701454149,False,11
"[32,2]","[0,254]",62.101083451202726,62.10230745904185,62.102373436557,0.0012899853542762685,False,9
"[35,1]","[0,254]",64.10078581501584,64.10213285874929,64.10218536350332,0.0013995484874840258,False,10
"[32,4]","[0,254]",64.10108507619837,64.10216727105204,64.10222183571021,0.0011367595118372265,False,7
"[30,5]","[0,254]",70.10083065891102,70.10204419064345,70.10212943386125,0.001298774950228676,False,9
"[35,5]","[0,254]",72.10078844145379,72.10228226207263,72.10236490346047,0.0015764620066818225,False,11
"[0,2]","[0,254]",154.10063679602467,,154.10071889785507,8.210183040091579e-05,True,1
"[1,1]","[0,254]",154.10088726249842,154.10100199935212,154.10106537254464,0.0001781100462210361,False,2
"[36,1]","[0,254]",156.10137453070044,156.10250412886202,156.10258453071074,0.0012100000103032471,False,9
"[44,2]","[0,254]",156.10118612392407,156.1027236077259,156.10277784890647,0.00159172498240423,False,23
"[44,3]","[0,254]",156.10132382770672,156.10283486783518,156.1029101537944,0.0015863260876756158,False,12
"[53,1]","[0,254]",158.10097160704262,158.10135702052614,158.1014075378955,0.0004359308528876227,False,7
"[54,3]","[0,254]",160.1012187109617,160.1030556455907,160.103123116152,0.0019044051903165382,False,26
"[57,4]","[0,254]",162.1011370253742,162.1018061764157,162.10189278115575,0.0007557557815687233,False,6
"[58,2]","[0,254]",162.10119379903205,162.10324969043387,162.10326397339244,0.002070174360397914,False,43
"[58,1]","[0,254]",162.10123847725194,162.10325282556562,162.10331496222153,0.0020764849695922294,False,29
"[52,1]","[0,254]",164.10071311109405,164.10096783545248,164.10100452789612,0.0002914168020708985,False,3
"[53,3]","[0,254]",164.1009305038483,164.1013124084633,164.10138003576006,0.0004495319117552299,False,4
"[59,2]","[0,254]",166.1012565155176,166.1022002723866,166.1022800225104,0.0010235069927944096,False,8
"[63,2]","[0,254]",167.10040212442905,167.10094171602734,167.10098025127076,0.0005781268417024421,False,7
"[60,4]","[0,254]",168.10128405603865,168.10353704677567,168.10359018890318,0.0023061328645326284,False,17
"[61,3]","[0,254]",168.1013119062095,168.10359134623036,168.10365620093717,0.0023442947276635095,False,17
"[52,1]","[0,254]",169.10044371218123,169.10069843653966,169.1007351289833,0.0002914168020708985,False,4
"[59,3]","[0,254]",170.10126265040205,170.10224386862845,170.10232361875225,0.0010609683502025291,False,8
"[68,1]","[0,254]",173.10036802939837,173.10084012100077,173.10090149539295,0.0005334659945788189,False,5
"[60,4]","[0,254]",174.10141440965475,174.10366740039177,174.10372054251928,0.0023061328645326284,False,17
"[70,2]","[0,254]",176.10144809115835,176.1027341521132,176.1028016899768,0.0013535988184401049,False,10
"[70,4]","[0,254]",179.10061206585925,179.1019324803566,179.1019563750817,0.0013443092224463271,False,27
"[72,1]","[0,254]",182.10148785161087,182.10398837181265,182.10405736362847,0.0025695120176010278,False,19
"[74,1]","[0,254]",185.10053464014223,185.1019983931776,185.10203434080228,0.00149970066004812,False,20
"[70,2]","[0,254]",185.1007776972336,185.1020637581884,185.10213129605205,0.0013535988184401049,False,10
"[74,2]","[0,254]",185.1007494644289,185.10215077329784,185.10222682629868,0.0014773618697745405,False,21
"[76,1]","[0,254]",191.10049341301877,191.102075592814,191.102153018531,0.0016596055122306552,False,12
"[76,2]","[0,254]",191.1005711742254,191.102213175567,191.10222132247884,0.0016501482534465595,False,23
"[77,1]","[0,254]",193.100783675659,193.10238463254103,193.10246479211523,0.0016811164562398062,False,12
"[76,1]","[0,254]",201.10230380161403,201.1038859814093,201.1039634071263,0.001659605512259077,False,12
"[76,2]","[0,254]",207.10073608858053,207.10230881111696,207.102386236834,0.0016501482534749812,False,12
"[80,5]","[0,254]",209.100791425435,209.10264650912188,209.10269211184144,0.001900686406429486,False,14
"[84,1]","[0,254]",211.10079334005627,211.102749158606,211.10283546944348,0.0020421293872061597,False,15
"[0,1]","[0,254]",267.10043401101444,,267.10049738420696,6.337319251770168e-05,True,1
"[7,1]","[0,254]",268.10073811616724,268.10103967691384,268.10110320111244,0.00036508494520148815,False,3
"[86,1]","[0,254]",269.1013567497517,269.10166732198564,269.10170946386194,0.00035271411024950794,False,5
"[1,5]","[0,254]",270.10062631407936,270.1008927871108,270.1009692644189,0.00034295033952957965,False,3
"[1,4]","[0,254]",270.1007314905741,270.1009918258639,270.10106830317204,0.00033681259793638674,False,3
"[90,2]","[0,254]",274.100807660749,274.10133818264177,274.1013794598906,0.0005717991415963297,False,9
"[90,2]","[0,254]",277.1009908011826,277.1014976605533,277.1015626003242,0.0005717991415963297,False,5
"[88,1]","[0,254]",282.1015968181276,282.101993323557,282.1020781271678,0.00048130904019672016,False,4
"[92,1]","[0,254]",284.1009192188234,284.1016393755979,284.1016859328682,0.0007667140448006649,False,7
"[88,3]","[0,254]",284.10129881239817,284.10170484408286,284.10178964769364,0.0004908352954657857,False,4
"[68,2]","[0,254]",290.10163686907026,290.1021298401327,290.1021912145249,0.0005543454546454996,False,5
"[68,3]","[0,254]",290.1017354805595,290.1022662107305,290.1022847834703,0.0005493029107697112,False,6
"[92,1]","[0,254]",292.10091203304086,292.1015841944101,292.1016321898154,0.0007201567745482862,False,6
"[68,3]","[0,254]",297.10200447027705,297.1024923987956,297.1025537731878,0.0005493029107697112,False,5
"[98,1]","[0,254]",300.10107806346275,300.1020727347203,300.102102462388,0.0010243989252671781,False,24
"[98,1]","[0,254]",302.10107806346275,302.1020727347203,302.102102462388,0.0010243989252671781,False,24
"[97,3]","[0,254]",302.1018268716839,302.10258151672105,302.1026628274288,0.0008359557448898158,False,7
"[98,1]","[0,254]",304.10107806346275,304.1020727347203,304.102102462388,0.0010243989252671781,False,24
"[99,1]","[0,254]",304.1015743516456,304.10232227210065,304.102397255556,0.00082290391043216,False,7
"[99,2]","[0,254]",304.1017155899151,304.1025458378895,304.1025621699111,0.0008465799959935794,False,18
"[98,1]","[0,254]",306.10107806346275,306.1020727347203,306.102102462388,0.0010243989252671781,False,24
"[98,1]","[0,254]",308.10107806346275,308.10204011053264,308.1020848783662,0.0010068149034623275,False,21
