time,packet_type,source,current_node,next_hop,dest,hop_count,path_type
1086.1008149104168,SENSOR_DATA,"[23,2]",16,"[0,254]","[0,254]",,DIRECT
1086.100822546679,SENSOR_DATA,"[23,4]",34,"[2,254]","[0,254]",,TREE
1086.100822894933,SENSOR_DATA,"[22,4]",57,"[1,5]","[0,254]",,TREE
1086.100825923645,SENSOR_DATA,"[25,4]",42,"[11,254]","[0,254]",,TREE
1086.1008378385059,SENSOR_DATA,"[21,4]",23,"[2,5]","[0,254]",,TREE
1086.1008452349106,SENSOR_DATA,"[24,2]",23,"[2,5]","[0,254]",,TREE
1086.1008478529561,SENSOR_DATA,"[24,3]",23,"[2,5]","[0,254]",,TREE
1086.1008507551755,SENSOR_DATA,"[23,3]",25,"[0,2]","[0,254]",,TREE
1086.1008543487178,SENSOR_DATA,"[20,2]",27,"[0,254]","[0,254]",,DIRECT
1086.1008564892948,SENSOR_DATA,"[22,6]",57,"[1,5]","[0,254]",,TREE
1086.1008656435554,SENSOR_DATA,"[20,3]",48,"[1,254]","[0,254]",,TREE
1086.1008717222057,SENSOR_DATA,"[25,3]",33,"[2,7]","[0,254]",,TREE
1086.1008745078882,SENSOR_DATA,"[21,5]",23,"[2,5]","[0,254]",,TREE
1086.1008757205407,SENSOR_DATA,"[22,5]",57,"[1,5]","[0,254]",,TREE
1086.1008841248406,SENSOR_DATA,"[22,7]",57,"[1,5]","[0,254]",,TREE
1086.1008841830346,SENSOR_DATA,"[22,4]",47,"[1,254]","[0,254]",,TREE
1086.10090318001,SENSOR_DATA,"[23,4]",25,"[0,2]","[0,254]",,TREE
1086.1009090774703,SENSOR_DATA,"[25,4]",33,"[2,7]","[0,254]",,TREE
1086.1009146166064,SENSOR_DATA,"[23,3]",16,"[0,254]","[0,254]",,DIRECT
1086.1009177773965,SENSOR_DATA,"[22,6]",47,"[1,254]","[0,254]",,TREE
1086.1009227551522,SENSOR_DATA,"[20,3]",38,"[0,1]","[0,254]",,TREE
1086.1009252776005,SENSOR_DATA,"[21,4]",14,"[2,254]","[0,254]",,TREE
1086.1009326740052,SENSOR_DATA,"[24,2]",14,"[2,254]","[0,254]",,TREE
1086.1009352920507,SENSOR_DATA,"[24,3]",14,"[2,254]","[0,254]",,TREE
1086.1009370086424,SENSOR_DATA,"[22,5]",47,"[1,254]","[0,254]",,TREE
1086.1009454129423,SENSOR_DATA,"[22,7]",47,"[1,254]","[0,254]",,TREE
