Node ID,Position,Role,Power
0,"(303.46019374111063, 215.11325305840919)",Roles.REGISTERED,14.072920672000485
1,"(288.39593518355304, 288.0481222456288)",Roles.CLUSTER_HEAD,14.183413545600192
2,"(308.98076116618637, 335.49774031857385)",Roles.ROUTER,13.916587752000789
3,"(342.16585212788175, 419.4904403510567)",Roles.CLUSTER_HEAD,12.003372547204254
4,"(343.3578814573981, 509.7916433384222)",Roles.CLUSTER_HEAD,12.876839561601226
5,"(352.5913183498242, 579.5576717500652)",Roles.ROUTER,12.830630939200654
6,"(335.8714816088192, 626.1161055510662)",Roles.REGISTERED,13.993931577600343
7,"(327.96024692771925, 744.0616929461078)",Roles.CLUSTER_HEAD,14.411227619200016
8,"(383.45203251470497, 811.2926300723258)",Roles.ROUTER,11.472816100804414
9,"(380.6850497565745, 896.9583509474294)",Roles.CLUSTER_HEAD,12.255219083201863
10,"(367.2850207354376, 208.84242699249873)",Roles.CLUSTER_HEAD,13.05878633920194
11,"(405.1122227645597, 296.3253311892933)",Roles.ROUTER,11.06217718720507
12,"(410.8134917752647, 371.10942812349435)",Roles.CLUSTER_HEAD,10.617754772806444
13,"(403.9676452400324, 436.1819505169789)",Roles.REGISTERED,12.396264832000448
14,"(417.1573330211249, 519.7787697320746)",Roles.CLUSTER_HEAD,6.147183064012312
15,"(412.5399850072118, 598.3605136804681)",Roles.CLUSTER_HEAD,6.835504427211217
16,"(440.50925294693764, 634.4924864558013)",Roles.ROUTER,5.5890251312105566
17,"(451.1725702444013, 724.9681028895816)",Roles.ROOT,999994.2033444311
18,"(429.66768115349197, 817.6643975207678)",Roles.ROUTER,9.966161139207273
19,"(454.6865327646599, 870.2144046926178)",Roles.ROUTER,10.34179052000673
20,"(443.35619157135443, 219.1366012033227)",Roles.CLUSTER_HEAD,12.588548100802468
21,"(469.4107732082542, 254.32337948641242)",Roles.REGISTERED,12.703049964801309
22,"(445.396563104705, 333.1849148574987)",Roles.REGISTERED,13.377930321599832
23,"(466.0261333322873, 436.63829044609327)",Roles.CLUSTER_HEAD,9.546399784007074
24,"(470.42647134638656, 517.4150787231281)",Roles.ROUTER,11.062041148803605
25,"(491.4087952649592, 582.3578082659651)",Roles.DEAD,2.999443393611087
26,"(481.3468673013436, 625.615079242931)",Roles.CLUSTER_HEAD,12.572651352002131
27,"(523.5043217466362, 727.4169233561219)",Roles.DEAD,2.998747011211342
28,"(502.1912945629907, 817.3730494744311)",Roles.CLUSTER_HEAD,11.616737345602596
29,"(537.9877507944701, 882.9607406809912)",Roles.CLUSTER_HEAD,13.296614363201202
30,"(536.4700090161373, 194.184481644502)",Roles.REGISTERED,13.645490339201157
31,"(555.2323151700867, 296.92296003569044)",Roles.ROUTER,11.839662865603499
32,"(521.4624713803374, 363.86985911479513)",Roles.CLUSTER_HEAD,10.095690510406735
33,"(569.9859632760746, 424.05509087071204)",Roles.REGISTERED,10.320863446405266
34,"(557.7200595288871, 522.0506755652727)",Roles.CLUSTER_HEAD,7.2709916896128535
35,"(578.1675753581486, 570.7212259419553)",Roles.REGISTERED,11.40588003360435
36,"(572.0054778544193, 664.3222192721264)",Roles.ROUTER,8.947330771207803
37,"(582.4927592381741, 740.2284742257018)",Roles.REGISTERED,11.752639699202916
38,"(587.5378132553625, 784.0391996730152)",Roles.ROUTER,6.887720900810323
39,"(595.0514568377649, 892.563700607582)",Roles.ROUTER,12.43004931680204
40,"(576.622956559712, 222.17851268988608)",Roles.CLUSTER_HEAD,13.169530929601285
41,"(625.9039045187424, 272.6499393636584)",Roles.ROUTER,11.352072630404134
42,"(604.0598339027015, 338.4320866724434)",Roles.CLUSTER_HEAD,9.51430924800718
43,"(606.7305091561462, 414.514216061501)",Roles.CLUSTER_HEAD,10.230419707205963
44,"(617.7608059076147, 522.5978825867716)",Roles.REGISTERED,13.4712844336005
45,"(644.9101402281187, 564.7246388549736)",Roles.ROUTER,12.749347926400528
46,"(644.8246827996414, 630.7095322846005)",Roles.CLUSTER_HEAD,6.78097505281239
47,"(644.6671235639299, 739.8101505592612)",Roles.REGISTERED,9.827813955207464
48,"(647.6729074492374, 811.507611539258)",Roles.CLUSTER_HEAD,10.053776918406673
49,"(690.7781758925499, 871.5827773574888)",Roles.CLUSTER_HEAD,12.218399406403437
50,"(661.26870066593, 194.8657684573761)",Roles.REGISTERED,13.760418083200317
51,"(705.4946658612146, 272.28342581711917)",Roles.CLUSTER_HEAD,11.097078915204921
52,"(686.3332513513797, 366.61224522463965)",Roles.CLUSTER_HEAD,8.808938105609307
53,"(704.038591831107, 434.7525445806233)",Roles.ROUTER,11.851080492803497
54,"(706.1947719933489, 476.53501383770185)",Roles.CLUSTER_HEAD,13.154018220800957
55,"(727.6692756717077, 582.991194587554)",Roles.CLUSTER_HEAD,7.573869633610943
56,"(731.8725625047855, 631.2841661154864)",Roles.REGISTERED,13.08221583039948
57,"(704.872008676226, 703.5363438943455)",Roles.ROUTER,10.297022038405853
58,"(755.8588156622977, 789.8939902871259)",Roles.REGISTERED,13.455617651199603
59,"(745.74703613384, 856.5195564212204)",Roles.ROUTER,12.279734446402857
60,"(767.5263330481636, 204.52919856437077)",Roles.ROUTER,13.04982366720104
61,"(777.540649760619, 273.0426245076645)",Roles.CLUSTER_HEAD,10.933893544005402
62,"(783.4943213961182, 364.00086347163585)",Roles.CLUSTER_HEAD,10.704284200005079
63,"(749.3711687542382, 410.0203727733086)",Roles.REGISTERED,11.980577988803153
64,"(783.6691351511155, 519.8282873008214)",Roles.CLUSTER_HEAD,9.808625438408148
65,"(787.117537522474, 596.8976950891158)",Roles.CLUSTER_HEAD,10.038746876807732
66,"(795.2053683622926, 625.8600098361618)",Roles.REGISTERED,12.011943355202037
67,"(797.616235650956, 714.0675857730556)",Roles.CLUSTER_HEAD,9.3004795104094
68,"(827.8768371521461, 815.5569530975258)",Roles.CLUSTER_HEAD,11.463373049604954
69,"(799.2571570497363, 871.4620207298658)",Roles.REGISTERED,13.248096161600758
70,"(804.820255129673, 193.96168549812865)",Roles.CLUSTER_HEAD,13.129884363201652
71,"(853.2222319701289, 291.8846375074648)",Roles.REGISTERED,12.655510310401596
72,"(853.3975591456548, 351.62602075734753)",Roles.CLUSTER_HEAD,10.350845102405957
73,"(824.5200226771385, 406.65085061255627)",Roles.REGISTERED,11.890675808002342
74,"(856.9104369778067, 488.4004971977756)",Roles.ROUTER,9.87086361280674
