Node ID,Position,Role,Power
0,"(303.46019374111063, 215.11325305840919)",Roles.REGISTERED,28.515259209599627
1,"(288.39593518355304, 288.0481222456288)",Roles.CLUSTER_HEAD,28.855502928001364
2,"(308.98076116618637, 335.49774031857385)",Roles.ROUTER,28.46358816959986
3,"(342.16585212788175, 419.4904403510567)",Roles.CLUSTER_HEAD,25.253890951988858
4,"(343.3578814573981, 509.7916433384222)",Roles.CLUSTER_HEAD,27.339341644800726
5,"(352.5913183498242, 579.5576717500652)",Roles.ROUTER,27.60762395360471
6,"(335.8714816088192, 626.1161055510662)",Roles.REGISTERED,28.492923353599707
7,"(327.96024692771925, 744.0616929461078)",Roles.CLUSTER_HEAD,29.10569137600108
8,"(383.45203251470497, 811.2926300723258)",Roles.ROUTER,24.665130713591253
9,"(380.6850497565745, 896.9583509474294)",Roles.CLUSTER_HEAD,25.99274737599904
10,"(367.2850207354376, 208.84242699249873)",Roles.CLUSTER_HEAD,26.80486929919652
11,"(405.1122227645597, 296.3253311892933)",Roles.ROUTER,23.90074787679091
12,"(410.8134917752647, 371.10942812349435)",Roles.CLUSTER_HEAD,23.028976435184074
13,"(403.9676452400324, 436.1819505169789)",Roles.REGISTERED,26.166655776003882
14,"(417.1573330211249, 519.7787697320746)",Roles.CLUSTER_HEAD,15.732360639957689
15,"(412.5399850072118, 598.3605136804681)",Roles.CLUSTER_HEAD,19.437359820770855
16,"(440.50925294693764, 634.4924864558013)",Roles.ROUTER,14.87910756156565
17,"(451.1725702444013, 724.9681028895816)",Roles.ROOT,999991.8054243475
18,"(429.66768115349197, 817.6643975207678)",Roles.ROUTER,22.671381236785162
19,"(454.6865327646599, 870.2144046926178)",Roles.ROUTER,23.082139937585723
20,"(443.35619157135443, 219.1366012033227)",Roles.CLUSTER_HEAD,25.775478796793408
21,"(469.4107732082542, 254.32337948641242)",Roles.REGISTERED,26.508269868799903
22,"(445.396563104705, 333.1849148574987)",Roles.REGISTERED,27.68566510880448
23,"(466.0261333322873, 436.63829044609327)",Roles.CLUSTER_HEAD,22.002540999985083
24,"(470.42647134638656, 517.4150787231281)",Roles.ROUTER,25.82360731200234
25,"(491.4087952649592, 582.3578082659651)",Roles.DEAD,5.999698171172009
26,"(481.3468673013436, 625.615079242931)",Roles.REGISTERED,26.453777708798086
27,"(523.5043217466362, 727.4169233561219)",Roles.ROUTER,12.491675612763549
28,"(502.1912945629907, 817.3730494744311)",Roles.REGISTERED,24.868774908797107
29,"(537.9877507944701, 882.9607406809912)",Roles.CLUSTER_HEAD,27.530551257599246
30,"(536.4700090161373, 194.184481644502)",Roles.REGISTERED,27.782408188798023
31,"(555.2323151700867, 296.92296003569044)",Roles.ROUTER,25.592769831995668
32,"(521.4624713803374, 363.86985911479513)",Roles.CLUSTER_HEAD,22.70230213438643
33,"(569.9859632760746, 424.05509087071204)",Roles.REGISTERED,21.551514849587413
34,"(557.7200595288871, 522.0506755652727)",Roles.CLUSTER_HEAD,16.7262234255587
35,"(578.1675753581486, 570.7212259419553)",Roles.ROUTER,25.559161921596477
36,"(572.0054778544193, 664.3222192721264)",Roles.CLUSTER_HEAD,22.611134492789187
37,"(582.4927592381741, 740.2284742257018)",Roles.REGISTERED,25.099654499195776
38,"(587.5378132553625, 784.0391996730152)",Roles.CLUSTER_HEAD,17.837945734372326
39,"(595.0514568377649, 892.563700607582)",Roles.CLUSTER_HEAD,26.219348347198014
40,"(576.622956559712, 222.17851268988608)",Roles.CLUSTER_HEAD,27.496192035200224
41,"(625.9039045187424, 272.6499393636584)",Roles.REGISTERED,24.070620233590688
42,"(604.0598339027015, 338.4320866724434)",Roles.CLUSTER_HEAD,20.85906285118319
43,"(606.7305091561462, 414.514216061501)",Roles.REGISTERED,21.728114924785487
44,"(617.7608059076147, 522.5978825867716)",Roles.REGISTERED,28.124632892801927
45,"(644.9101402281187, 564.7246388549736)",Roles.CLUSTER_HEAD,27.27243852320439
