packet_id,type,source_node,created_at,received_at,delay
"(27, (0, 254))",27,36.10006337319253,36.10012574638506,6.237319252733187e-05
"(16, (0, 254))",16,36.10008210183042,36.100163203660834,8.11018304176514e-05
"(18, (0, 254))",18,36.10008615809631,36.10017131619262,8.515809631148841e-05
"((0, 1), (0, 254))",27,141.10108156755996,141.10114394075248,6.237319252022644e-05
"((0, 1), (0, 254))",27,141.10108156755996,141.10114394075248,6.237319252022644e-05
"((0, 2), (0, 254))",16,226.10024630549125,226.10032740732166,8.110183040344054e-05
"((0, 3), (0, 254))",18,176.10058140176093,176.10066655985725,8.515809631148841e-05
"(37, (0, 1))",37,96.10011473685374,96.10016510051494,5.036366120236835e-05
"(26, (0, 2))",26,96.10011489320638,96.10014668458234,3.1791375960210644e-05
"(15, (0, 2))",15,81.1002829979349,81.10031869037854,3.5692443645984895e-05
"(8, (0, 3))",8,101.10029612710878,101.10033277992862,3.66528198441074e-05
"(36, (0, 1))",36,81.10026070163478,81.10033028369197,6.958205719342914e-05
"(19, (0, 3))",19,96.10013535986768,96.10018356163904,4.82017713636651e-05
"(38, (0, 1))",38,56.100139850500696,56.100215327808854,7.547730815815612e-05
"(25, (0, 2))",25,56.100145963261085,56.10020882469175,6.28614306634745e-05
"(28, (0, 3))",28,81.10032199848756,81.10038452268618,6.25241986256242e-05
"(9, (0, 3))",9,56.100170361257355,56.1002535644184,8.320316104715175e-05
"((0, 254), (0, 1))",17,96.10022947370747,96.1002918469,6.23731925344373e-05
"((0, 254), (0, 2))",17,96.10022978641275,96.10031088824317,8.11018304176514e-05
"((0, 254), (0, 3))",17,101.10041993802493,101.10050509612124,8.515809631148841e-05
"((1, 1), (1, 254))",37,56.10034421056119,56.10039457422239,5.036366120236835e-05
"((2, 1), (2, 254))",26,56.10034467961914,56.10037647099511,3.179137596731607e-05
"((2, 2), (2, 254))",15,56.10034858068681,56.10038427313045,3.569244363887947e-05
"((1, 2), (1, 254))",36,56.10036342895718,56.100433011014374,6.958205719342914e-05
"((1, 3), (1, 254))",38,56.10052227882446,56.100597756132615,7.547730815815612e-05
"((3, 1), (3, 254))",8,56.10037143274846,56.100408085568304,3.66528198441074e-05
"((2, 3), (2, 254))",25,56.10050347253516,56.10056633396582,6.28614306634745e-05
"((3, 2), (3, 254))",19,56.10038298169998,56.10043118347134,4.82017713636651e-05
"((3, 3), (3, 254))",28,56.100397304127235,56.10045982832585,6.252419861851877e-05
"((3, 4), (3, 254))",9,56.10058638941175,56.1006695925728,8.320316104715175e-05
"((0, 2), (2, 3))",16,56.1004396111045,56.10050247253516,6.28614306634745e-05
"((0, 1), (1, 3))",27,56.1004458015163,56.10052127882446,7.547730815815612e-05
"((0, 3), (3, 4))",18,56.10050218625071,56.100585389411755,8.320316104715175e-05
"((2, 3), (0, 2))",25,116.10037574967384,116.10043861110451,6.28614306634745e-05
"((1, 3), (0, 1))",38,166.1013521838165,,
"((3, 4), (0, 3))",9,206.10058638941177,,
"((0, 1), (1, 254))",27,141.1001901195776,141.10026559688578,7.547730817236697e-05
"((0, 2), (2, 254))",16,216.10024630549125,,
"((0, 3), (3, 254))",18,171.10025847428895,171.10034167745,8.320316104004633e-05
"((1, 3), (0, 254))",38,166.10036932420815,,
"((2, 3), (0, 254))",25,116.10037574967384,116.10052071293492,0.00014496326107860114
"((3, 4), (0, 254))",9,206.10041798308967,,
"(47, (1, 254))",47,76.10016791262534,76.10023016196362,6.22493382849143e-05
"(14, (2, 254))",14,76.10018851155542,76.10027561673401,8.71051785935606e-05
"(48, (1, 254))",48,76.10019696209729,76.10025307369388,5.6111596592245405e-05
"(24, (2, 254))",24,76.10020521145547,76.10026345964987,5.824819439226303e-05
"(35, (2, 254))",35,76.10021875886052,76.1002962945445,7.753568398527477e-05
"(34, (2, 254))",34,76.10022659659207,76.10030622992305,7.963333098359726e-05
"((1, 4), (1, 254))",47,196.10163826974642,,
"((1, 5), (1, 254))",48,196.10096486856847,,
"((2, 4), (2, 254))",24,136.10032370784427,,
"((2, 5), (2, 254))",14,141.10111736233156,,
"((2, 6), (2, 254))",35,136.1003758302285,,
"((2, 7), (2, 254))",34,141.1011353538597,,
"((4, 254), (0, 1))",36,186.10049017534226,,
"((5, 254), (0, 2))",15,176.1006944446225,176.10073013706614,3.5692443645984895e-05
"((8, 254), (0, 3))",28,216.10056962031987,,
"((1, 4), (0, 254))",47,196.10029441130192,,
"((1, 5), (0, 254))",48,196.10031118529048,,
"((2, 4), (0, 254))",24,146.10032370784427,,
"((2, 5), (0, 254))",14,141.1005159837931,,
"((1, 3), (8, 254))",38,161.10036932420815,161.10045094938917,8.162518102494687e-05
"((1, 3), (1, 4))",38,161.10036932420815,161.10043157354642,6.224933827070345e-05
"((1, 3), (1, 5))",38,161.10036932420815,161.10042543580474,5.6111596592245405e-05
"((2, 3), (5, 254))",25,116.10037574967384,116.10044622560697,7.047593312847766e-05
"((2, 3), (2, 4))",25,116.10037574967384,116.10043399786824,5.824819439226303e-05
"((2, 3), (2, 5))",25,116.10037574967384,116.10046285485244,8.71051785935606e-05
"((2, 3), (2, 6))",25,116.10037574967384,116.10045328535783,7.753568398527477e-05
"((2, 3), (2, 7))",25,116.10037574967384,116.10045538300483,7.963333098359726e-05
"((2, 6), (0, 254))",35,146.1003758302285,,
"((2, 7), (0, 254))",34,146.10038786325404,,
"((1, 4), (1, 5))",47,196.10029441130192,196.10035617174123,6.176043930850028e-05
"((1, 5), (1, 4))",48,196.10031118529048,196.1003729457298,6.176043930850028e-05
