source_id,target_id,distance
0,1,46.948261
0,2,150.125820
0,3,222.309903
0,4,266.225737
0,5,341.667283
0,6,451.614696
0,7,539.914260
0,8,586.528267
0,9,676.752257
0,10,119.368863
0,11,112.759229
0,12,187.522018
0,13,220.800136
0,14,309.777590
0,15,377.421411
0,16,462.359755
0,17,525.061083
0,18,598.174654
0,19,700.941073
0,20,162.986577
0,21,193.432906
0,22,244.331448
0,23,289.208787
0,24,362.825354
0,25,401.994419
0,26,506.473635
0,27,557.249374
0,28,614.297644
0,29,719.254379
0,30,264.383662
0,31,268.886578
0,32,278.700602
0,33,365.592776
0,34,419.626836
0,35,449.017864
0,36,514.841646
0,37,568.828607
0,38,677.688448
0,39,722.051579
0,40,311.829052
0,41,339.971680
0,42,377.028039
0,43,393.858620
0,44,457.850336
0,45,478.819621
0,46,556.120181
0,47,649.125009
0,48,690.577807
0,49,767.339339
0,50,404.590149
0,51,428.005339
0,52,419.867889
0,53,460.512687
0,54,493.264126
0,55,558.747842
0,56,609.629699
0,57,690.584744
0,58,753.521814
0,59,792.690748
0,60,449.934725
0,61,501.842497
0,62,501.023120
0,63,554.064244
0,64,572.816752
0,65,617.267976
0,66,683.834948
0,67,718.094587
0,68,770.226236
0,69,832.471302
0,70,548.099503
0,71,550.927887
0,72,590.511706
0,73,606.464276
0,74,630.974854
0,75,680.102312
0,76,733.692731
0,77,775.325616
0,78,842.492164
0,79,921.242663
0,80,640.013904
0,81,650.036060
0,82,642.305105
0,83,648.518002
0,84,716.992388
0,85,748.148025
0,86,783.541538
0,87,831.880658
0,88,906.657908
0,89,952.377329
0,90,713.275625
0,91,689.367315
0,92,724.829146
0,93,748.566999
0,94,773.502631
0,95,831.365101
0,96,848.136977
0,97,902.947513
0,98,970.338045
0,99,1002.920954
1,2,103.597313
1,3,175.625403
1,4,221.267303
1,5,296.191415
1,6,406.193227
1,7,493.885409
1,8,540.583574
1,9,631.116185
1,10,126.132314
1,11,73.135989
1,12,145.160855
1,13,174.326313
1,14,262.848543
1,15,330.489243
1,16,415.508155
1,17,478.233308
1,18,551.488149
1,19,654.201891
1,20,154.452922
1,21,168.694040
1,22,205.211428
1,23,246.648047
1,24,317.314282
1,25,355.743134
1,26,459.695085
1,27,510.328416
1,28,567.357505
1,29,672.324222
1,30,253.706140
1,31,248.929836
1,32,246.371660
1,33,326.389949
1,34,377.101338
1,35,404.099289
1,36,469.936782
1,37,522.571712
1,38,630.979779
1,39,675.255582
1,40,304.474230
1,41,315.646682
1,42,349.592504
1,43,359.008160
1,44,418.420577
1,45,436.388929
1,46,511.967973
1,47,603.928328
1,48,645.175632
1,49,721.090523
1,50,389.636915
1,51,408.421103
1,52,392.492604
1,53,427.547267
1,54,455.428255
1,55,519.443824
1,56,566.647144
1,57,646.459740
1,58,709.282594
1,59,747.565581
1,60,435.634947
1,61,480.717350
1,62,473.325071
1,63,523.116125
1,64,536.985774
1,65,577.656753
1,66,642.859522
1,67,675.994168
1,68,726.897627
1,69,787.860012
1,70,533.240974
1,71,530.781296
1,72,567.234905
1,73,577.207341
1,74,598.087487
1,75,644.856033
1,76,695.649908
1,77,734.374333
1,78,800.988340
1,79,877.908833
1,80,627.037789
1,81,632.256783
1,82,618.048077
1,83,620.785819
1,84,685.898731
1,85,714.043568
1,86,747.081344
1,87,791.902494
1,88,865.474833
1,89,910.481859
1,90,700.030408
1,91,670.691300
1,92,702.769433
1,93,722.423055
1,94,741.848310
1,95,798.101263
1,96,812.624900
1,97,864.381020
1,98,930.380330
1,99,962.625755
2,3,72.249396
2,4,120.134686
2,5,193.534495
2,6,303.415550
2,7,390.427479
2,8,437.177361
2,9,527.958861
2,10,197.548136
2,11,80.274933
2,12,90.952709
2,13,82.785548
2,14,160.691992
2,15,228.226270
2,16,312.513754
2,17,375.126358
2,18,448.058076
2,19,550.852807
2,20,196.529643
2,21,171.916035
2,22,153.146578
2,23,174.481514
2,24,227.101490
2,25,260.604997
2,26,360.249240
2,27,409.235022
2,28,465.817297
2,29,569.799945
2,30,276.059445
2,31,250.511655
2,32,213.467541
2,33,263.245141
2,34,299.250328
2,35,315.416839
2,36,380.570996
2,37,426.332810
2,38,531.724434
2,39,575.288397
2,40,329.333693
2,41,299.557862
2,42,322.671007
2,43,309.271551
2,44,351.079769
2,45,357.627548
2,46,425.402264
2,47,512.396622
2,48,552.584020
2,49,624.364430
2,50,392.408789
2,51,399.109416
2,52,363.465677
2,53,380.882296
2,54,392.556793
2,55,450.396481
2,56,484.115640
2,57,559.051982
2,58,621.136865
2,59,655.800360
2,60,437.882059
2,61,464.750684
2,62,440.297353
2,63,479.621767
2,64,478.743848
2,65,506.745911
2,66,566.715477
2,67,595.757830
2,68,642.038983
2,69,698.007040
2,70,530.971783
2,71,515.784917
2,72,543.419632
2,73,537.273073
2,74,547.526197
2,75,586.694051
2,76,628.454764
2,77,657.617399
2,78,722.028767
2,79,792.440741
2,80,627.009700
2,81,620.769546
2,82,590.649493
2,83,584.179758
2,84,639.107049
2,85,658.397297
2,86,684.213858
2,87,717.921440
2,88,787.256762
2,89,829.763381
2,90,698.101612
2,91,656.339361
2,92,679.542525
2,93,688.462680
2,94,692.824108
2,95,744.019831
2,96,751.999010
2,97,794.351423
2,98,855.756288
2,99,886.821532
3,4,60.522507
3,5,125.362632
3,6,234.043358
3,7,319.313250
3,8,366.166921
3,9,457.421850
3,10,257.088650
3,11,137.983760
3,12,103.578234
3,13,48.784703
3,14,89.261498
3,15,156.419930
3,16,240.288230
3,17,302.879794
3,18,375.873944
3,19,478.632651
3,20,243.478298
3,21,201.486686
3,22,144.892153
3,23,140.962842
3,24,168.030690
3,25,195.268901
3,26,290.168374
3,27,337.898303
3,28,394.168077
3,29,497.673739
3,30,305.547071
3,31,269.029239
3,32,211.215903
3,33,229.669079
3,34,249.884460
3,35,255.298277
3,36,318.790512
3,37,358.469222
3,38,461.400930
3,39,504.465267
3,40,357.201553
3,41,301.873087
3,42,315.449193
3,43,284.596149
3,44,309.370174
3,45,305.637222
3,46,365.475274
3,47,447.768744
3,48,486.966024
3,49,555.584283
3,50,403.056833
3,51,401.086524
3,52,352.508145
3,53,355.385388
3,54,353.352598
3,55,404.692461
3,56,426.871700
3,57,497.351307
3,58,558.561043
3,59,590.438011
3,60,446.531093
3,61,459.734438
3,62,423.396237
3,63,453.636764
3,64,441.216704
3,65,458.606433
3,66,513.734307
3,67,539.352867
3,68,581.830323
3,69,633.897797
3,70,533.978115
3,71,510.129032
3,72,530.757752
3,73,512.756673
3,74,514.722847
3,75,547.458447
3,76,581.810017
3,77,603.441778
3,78,665.825749
3,79,731.199501
3,80,629.753810
3,81,615.553387
3,82,574.468812
3,83,561.310084
3,84,607.816506
3,85,620.223353
3,86,640.344175
3,87,665.452361
3,88,731.297384
3,89,771.821255
3,90,698.488905
3,91,648.533997
3,92,665.047175
3,93,666.053084
3,94,659.243985
3,95,706.198841
3,96,709.257849
3,97,744.376555
3,98,802.130690
3,99,832.222926
4,5,76.063423
4,6,185.566099
4,7,275.205643
4,8,321.390352
4,9,410.825351
4,10,314.347443
4,11,194.855723
4,12,163.677476
4,13,104.776149
4,14,81.210905
4,15,134.823822
4,16,208.834949
4,17,269.101497
4,18,338.339115
4,19,441.179731
4,20,303.532723
4,21,261.800147
4,22,198.898529
4,23,182.789294
4,24,180.909061
4,25,194.223937
4,26,271.585139
4,27,312.719779
4,28,366.345882
4,29,464.864473
4,30,365.454816
4,31,327.399986
4,32,264.778767
4,33,265.675927
4,34,270.301410
4,35,260.891475
4,36,319.325029
4,37,345.209718
4,38,439.125352
4,39,479.831176
4,40,416.731088
4,41,355.274769
4,42,364.698563
4,43,324.897309
4,44,335.528192
4,45,320.839055
4,46,367.960969
4,47,440.421686
4,48,477.091103
4,49,537.436909
4,50,458.307492
4,51,453.224921
4,52,399.329527
4,53,393.480261
4,54,380.685793
4,55,424.626356
4,56,432.266746
4,57,494.771113
4,58,553.823134
4,59,580.132394
4,60,500.828305
4,61,508.268213
4,62,465.923794
4,63,489.841692
4,64,468.420550
4,65,475.008771
4,66,523.657927
4,67,544.444137
4,68,580.848152
4,69,625.750160
4,70,585.601656
4,71,557.949777
4,72,574.690102
4,73,549.332915
4,74,544.999574
4,75,571.797020
4,76,598.405441
4,77,610.924075
4,78,670.103440
4,79,727.505037
4,80,680.814634
4,81,662.946098
4,82,615.991078
4,83,598.587980
4,84,638.454280
4,85,644.878335
4,86,659.353351
4,87,674.616047
4,88,735.488745
4,89,772.997284
4,90,748.232332
4,91,694.411747
4,92,707.031177
4,93,702.907468
4,94,687.623121
4,95,730.566323
4,96,728.922348
4,97,756.030528
4,98,809.020645
4,99,837.710651
5,6,110.001822
5,7,199.143392
5,8,245.352826
5,9,335.092681
5,10,382.075289
5,11,263.285949
5,12,218.489388
